ID,title,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,32k-ids,count,positive,neutral,negative,numeric_sentiment
2017-En-21011,USA was embarrassing to watch. When was the last time you guys won a game..? horrible joke,1,0,1,0,0,0,0,0,0,0,0,5032 81 15887 26 755 31946 974 81 10 650 265 75 2466 1128 4 570 181 31992 3310 6398,20,0,0,1,0.0
2017-En-20349,NewYork: Several Baloch & Indian activists hold demonstrations outside headquarters demanding Pak to stop exporting terror into India,0,0,0,1,0,0,0,0,1,0,0,2083 31983 3341 31991 9356 9235 16687 775 8009 4192 1431 767 6063 612 2148 838 161 15355 15170 21135 26 1674 308 25735 7350 412 8424,27,0,0,1,0.0
2017-En-40483,Awareness of time is awareness of time lost. awareness time,0,0,0,0,1,1,1,0,0,0,0,98 1497 1027 39 265 46 11881 39 265 1675 31946 11881 265,13,0,1,0,0.5
2017-En-30807,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic & all that is wrong with the world today.,1,0,1,0,0,0,0,0,0,0,0,3644 38 10481 2825 8345 31941 1600 1042 8004 39 10 507 3843 543 7857 16885 1486 208 46 12442 775 163 74 46 1404 84 10 917 1699 31946,30,0,0,1,0.0
2017-En-21400,you guys will see what i did in the next video but its fucking horrid,1,0,1,1,0,0,0,0,1,0,0,75 2466 223 455 272 332 290 41 10 803 1597 102 515 18 979 25 19028,17,0,0,1,0.0
2017-En-11184,What a fucking muppet. stalker.,1,0,1,0,0,0,0,0,0,0,0,1122 4 18 979 25 20 8116 69 31946 25883 31946,11,0,0,1,0.0
2017-En-30230,I like your optimism!,0,0,0,0,1,0,1,0,0,0,0,19 172 276 25821 31956,5,1,0,0,1.0
2017-En-11421,My cat is bloody lucky the RSPCA weren't open at 3am last night!!! fuming pouting cat,1,0,1,0,1,0,0,0,0,0,0,456 1274 46 12924 5534 10 269 9458 7984 4176 31953 31928 909 166 458 174 650 1217 962 18 13029 24 21184 1274,24,0,0,0,0.5
2017-En-21740,I remember it well happy afraid Positive,0,0,0,1,1,1,1,0,0,0,0,19 2126 36 254 800 4079 29549,7,1,0,0,1.0
2017-En-10966,Autocorrect changes ''em' to 'me' which I resent greatly,1,0,1,0,0,0,0,0,0,0,0,7646 1074 23 1817 3227 20463 209 31953 26 924 91 31953 384 19 20330 5438,16,0,0,1,0.0
2017-En-10503,"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",1,0,1,0,1,0,1,0,0,0,0,19 1712 19 31953 31940 104 1008 1856 10 8788 31951 102 36 31953 31932 481 26 455 4 2384 39 3880 1378 703 340 2898 18239 21730 43 9490 145 1633 31946,33,1,0,0,1.0
2017-En-21716,I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,1,0,1,1,0,0,0,0,0,0,0,19 194 595 4637 1116 15146 61 1279 19 372 31953 31928 2911 84 31946 98 489 39 10 17613 15146 2010 58 4032 28 30359 31946,27,0,0,1,0.0
2017-En-20316,We are in so much trouble!! I don't think the Rev will see the funny side of our project.,0,0,0,1,1,0,0,0,1,0,0,513 112 41 117 321 2495 390 19 372 31953 31928 419 10 7823 223 455 10 1727 1028 39 554 2370 31946,23,0,0,1,0.0
2017-En-10936,ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,1,0,1,0,0,0,0,0,1,0,0,43 31941 28723 5038 223 746 203 16031 1383 31953 31932 3456 46 673 31956 1222 354 95 103 1160 676 31953 31928 1712 95 103 26 10815,28,0,0,1,0.0
2017-En-30541,You have to find a way to top yourself. glee,0,0,0,0,1,1,1,0,0,0,0,636 103 26 445 4 418 26 851 1879 31946 38 10481,12,1,0,0,1.0
2017-En-20393,Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,1,0,1,0,0,0,0,0,0,0,0,13564 158 962 636 112 1521 41 1946 694 31946 14530 26251 41 276 160 10229 31946 636 21 815 166 10 657 39 1451 31946 15436 46 13041 31946,30,0,0,1,0.0
2017-En-30296,smile every morning to a positive head start with your clients relations,0,0,0,0,1,0,1,0,0,0,0,5550 361 2647 26 4 2844 838 584 84 276 8071 1834,12,1,0,0,1.0
2017-En-20473,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,0,0,0,0,0,0,1,0,0,0,0,19 3690 669 427 2733 669 26 5496 311 567 31946 19 596 31953 31928 17803 102 4898 9120 28 16889 669 31946,23,1,0,0,1.0
2017-En-10565,its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,0,0,0,0,0,0,0,0,0,0,0,515 222 39 4 366 264 297 281 4 18416 6279 4287 102 75 103 26 802 26 21506 26 203 36 31980,23,1,0,0,1.0
2017-En-21752,Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,0,0,1,1,0,0,1,0,0,0,1,516 31942 68 74 31953 31932 280 3310 31946 636 31953 7 104 4 807 786 296 249 3667 39 10 4673 31946 19 1194 64 786 10432 74 31946,30,0,0,1,0.0
2017-En-11251,All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts tears of joy GBBO,1,0,1,0,1,0,0,0,1,0,0,1204 10 1216 608 112 117 7634 228 327 10 2103 14981 1968 1143 416 327 26 463 137 284 3476 54 7381 5021 39 3536 8487 8887,28,0,0,0,0.5
2017-En-40949,Living with depression doesn't mean you must be defeated by it every day's a new day and yesterday doesn't decide what today looks like :-),0,0,0,0,0,0,1,0,1,0,0,9504 84 9859 676 31953 31928 1712 75 846 60 22546 296 36 361 644 31953 31932 4 429 644 28 5966 676 31953 31928 4420 272 1699 833 172 6287,31,1,0,0,1.0
2017-En-20092,"In wake of fresh terror threat and sounding of alert in Mumbai, praying for safety & security of everybody in the city Maharashtra news",0,0,0,1,0,0,0,0,0,0,0,646 5731 39 2513 7350 6502 28 6835 39 9296 41 135 2144 3651 31951 17348 61 5072 775 5592 39 6784 41 10 3951 6933 1725 1018 12212 4660,30,0,0,0,0.5
2017-En-21374,KellyDodd Tamra would F her up if she swung on Tamra Kelly is a piece of pile of poo needstobeadmitted bully,1,0,1,0,0,0,0,0,0,0,0,9509 31965 16187 11390 105 194 238 279 208 277 351 1101 1781 58 11390 105 9509 46 4 1409 39 10107 39 14602 364 83 562 1031 9754 20280,30,0,0,1,0.0
2017-En-21886,"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA & MQM.shame ZH",1,0,1,0,0,0,0,0,1,1,0,619 28291 31937 8424 39 17380 3355 612 41 417 1018 25966 3599 868 57 31937 26 1925 8424 31953 31932 3562 41 18 48 26440 7350 41 23599 502 26034 31973 31951 7255 31954 775 135 0 31962 31946 6934 91 31926 0 31968,45,0,0,1,0.0
2017-En-21219,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! photography,0,1,0,0,1,0,1,0,0,0,0,6844 1200 1504 4578 19 175 1186 208 92 1342 517 31946 4320 19 419 343 46 4 2384 21 30778 3106 41 18127 9763 19 175 463 31956 5910,30,1,0,0,1.0
2017-En-30081,yes red heart red heart & cheering homecoming game!,0,0,0,0,1,1,1,0,0,0,0,2678 1863 1309 1863 1309 775 18614 1007 5770 570 31956,11,1,0,0,1.0
2017-En-20533,I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,0,1,0,0,1,0,0,0,1,0,0,19 81 117 11079 22807 370 64 2116 5066 2600 26 154 296 4982 277 19 9049 249 2927,19,0,1,0,0.5
2017-En-41251,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,0,0,0,0,0,1,1,0,0,0,1,1106 46 261 163 276 7470 28 163 276 10852 28 163 276 4010 112 19463 58 656 786 31946,20,1,0,0,1.0
2017-En-40646,The had a good one but then the reporter quit.,0,0,0,0,0,0,0,0,0,0,0,94 227 4 205 150 102 510 10 14898 5540 31946,11,0,0,0,0.5
2017-En-20764,Want to start a biker gang together when the GTA Online Biker DLC comes out?,0,1,0,0,1,0,1,0,0,0,0,10081 26 584 4 22488 7814 1012 261 10 24511 20120 137 18064 25437 1048 187 31992,17,1,0,0,1.0
2017-En-11506,lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,1,0,1,0,1,0,0,0,0,1,0,5004 6928 332 81 5793 572 280 5486 12025 103 75 1327 401 3706 152 43 1542 31992 75 2553 395 4114 154 3047 13996 31956,26,0,0,0,0.5
2017-En-41397,"Its possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",0,0,0,0,0,0,0,0,1,0,0,1883 2437 3832 16688 46 496 104 1008 659 602 4981 31946 20671 26 926 272 487 39 14604 46 6317 167 944 31951 272 46 7923 31946,28,0,1,0,0.5
2017-En-41073,Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,0,0,0,0,0,0,1,1,1,0,0,9422 1337 5712 31820 228 92 807 333 5443 1699 1358 31953 31965 102 332 5728 74 36 31953 31932 163 204 269 20678 28 7500 19 4172 1771 74 470 8839,32,0,0,1,0.0
2017-En-10559,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",1,0,1,0,0,0,0,0,0,0,0,785 396 879 485 7634 228 10 4575 3052 705 104 704 28892 31951 102 28892 14850 41 26779 46 7863 4 11515 649 2936,25,0,0,1,0.0
2017-En-20648,critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think theyre fighting against.,1,0,1,0,0,0,0,0,0,0,0,6319 94 17644 46 74 714 22064 25 228 64 835 39 1231 112 10 29442 829 10667 189 419 29419 4991 2178 31946,24,0,0,1,0.0
2017-En-21927,nah way that's horrible,1,0,1,0,0,0,0,0,0,0,0,43 1542 418 74 31953 31932 3310,7,0,0,1,0.0
2017-En-20218,I think just becz u have so much terror in pak nd urself being a leader u forgot d difference btw a leader nd terrorist !,1,0,1,1,0,0,0,0,0,0,0,19 419 204 301 31971 111 103 117 321 7350 41 24 214 24575 4139 541 704 4 7275 111 7112 33 2039 20114 4 7275 24575 18055 2671,29,0,0,1,0.0
2017-En-30952,angel delight is my everything,0,0,0,0,1,1,0,0,0,0,0,11151 2824 46 92 976,5,1,0,0,1.0
2017-En-10474,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,1,1,0,0,0,0,0,0,0,0,0,211 19643 12077 2817 1372 1873 229 408 67 11512 46 25066 900 2134 4 1220 25735 25268 251 31991 31926 0 31970 31971 31959 31983 31935 31974,28,0,0,1,0.0
2017-En-20413,In dire need of a worship session to just let go of everything,0,1,0,1,0,0,1,0,1,0,0,646 1320 364 39 4 9322 9525 26 204 1080 298 39 976,13,0,0,1,0.0
2017-En-40195,Brb going to sulk in bed until Friday,1,0,1,0,1,0,0,1,1,0,0,1399 31947 685 26 9 18065 41 1607 1137 9658,10,0,0,1,0.0
2017-En-10649,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,0,1,0,0,1,0,0,0,0,0,0,19 1330 19 31953 31940 5793 584 4050 41 92 4114 1180 58 10 19604 31946 21684 36 208 4 366 599 31946,23,1,0,0,1.0
2017-En-41456,This is the first time I've been sober on my birthday in 6 years. recovery sobriety sober soberissexy sobernative,0,0,0,0,1,0,1,0,0,0,0,164 46 10 378 265 19 31953 45 379 20401 58 92 2871 41 983 555 31946 9682 117 29427 2601 20401 20401 27869 11894 20401 31933 900,28,1,0,0,1.0
2017-En-11034,Weak people revenge. Strong people forgive. Intelligent people ignore.,1,0,0,0,0,0,1,0,0,0,0,513 214 608 9714 31946 9755 608 12440 31946 20957 88 608 8863 31946,14,0,0,1,0.0
2017-En-10396,I have a rage rage ep 2 coming out soon I'll keep you posted on it YouTube youtubegaming rage,1,0,0,0,0,0,0,0,0,0,0,19 103 4 16025 16025 1838 345 1835 187 1601 19 31953 30 518 75 7224 58 36 8960 8770 31942 3714 16025,23,1,0,0,1.0
2017-En-40760,"I'm so proud he understands this, he shows love, thought and compassion and it's not done in a clouded way..",0,0,0,0,1,0,1,0,0,0,0,19 31953 31940 117 6163 121 11769 64 31951 121 1579 278 31951 657 28 7748 28 36 31953 31932 104 1008 41 4 7623 31 418 181,28,1,0,0,1.0
2017-En-30218,Why have I only just started watching glee this week I am now addicted rolling eyes glee GLEEK,0,0,0,0,1,1,0,0,0,0,0,3317 103 19 309 204 1146 1856 38 10481 64 1373 19 250 483 7845 7351 2259 38 10481 193 2519 31960 31988,23,1,0,0,1.0
2017-En-21649,Delia omg that's terrible,1,0,1,1,0,0,0,0,1,0,0,4337 820 26480 74 31953 31932 3069,7,0,0,1,0.0
2017-En-10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!",0,0,0,0,0,1,0,0,0,0,0,1204 64 195 4 15166 6918 41 10786 31953 31932 587 31951 10 4499 39 279 13932 31951 10 4016 39 279 9503 7135 31979 1770 8450 21838 7737 31956,30,1,0,0,1.0
2017-En-21926,"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",0,1,0,1,0,0,0,0,0,0,0,11047 223 60 10 650 3636 39 14604 9144 31951 117 321 171 12 46 5793 1276 332 31953 31940 104 8001 4923 314,24,0,0,1,0.0
2017-En-21045,"Jorge deserves it, honestly. He's weak. 90dayfiance",1,0,1,0,0,0,0,0,0,0,0,344 2770 5101 36 31951 3821 31946 619 31953 31932 3116 31946 4621 867 4591 561,16,0,0,0,0.5
2017-En-30985,Modern family never fails to cheer me up. Especially Phil.,0,0,0,0,1,1,1,0,0,0,0,13992 958 595 6579 26 12687 154 208 31946 6168 5385 31946,12,1,0,0,1.0
2017-En-31561,Sometimes I get to sit back and be proud of myself for pleasing Him so well.,0,0,0,0,1,1,1,0,0,0,0,4344 19 203 26 1463 387 28 60 6163 39 1190 61 9864 9038 117 254 31946,17,1,0,0,1.0
2017-En-10827,Follow me on Snapchat ghost Carlabtst15 snapchat,0,0,0,0,1,0,1,0,0,0,0,9589 154 58 22566 31939 59 5805 8998 324 31928 83 8483 4114 31939 59,15,0,1,0,0.5
2017-En-10252,'shit' doesn't even begin to describe these fiery little demons straight from hell full moon new moon ;),1,0,1,0,0,0,0,0,0,0,0,924 2157 12 31953 676 31953 31928 395 1129 26 4615 304 27438 366 10171 2134 195 4495 887 9188 429 9188 7713,23,0,0,1,0.0
2017-En-40175,It's way too hard not to get discouraged.,1,0,0,0,0,0,0,1,1,0,0,133 31953 31932 418 316 578 104 26 203 21283 31946,11,0,0,1,0.0
2017-En-31116,ditto!! Such an amazing atmosphere! PhilippPlein cheerleaders stunt LondonEvents cheer,0,0,0,0,1,1,0,0,0,1,0,33 27447 390 6304 101 1024 8183 31956 20961 31973 22557 27147 18927 30297 6557 31960 31948 672 12687,19,1,0,0,1.0
2017-En-21998,"Somewhere I rd a rpt tht Pakis wr afraid of TSD & asked it 2 shut dn. Congis obliged & exposed it,hounded them.time to revive. BadlaofUri",0,0,0,0,0,0,0,0,0,0,0,26579 19 219 31937 4 219 335 40 31928 21135 14 342 4079 39 54 7954 775 3100 36 345 3654 33 31933 31946 11114 14 14428 31 775 7143 36 31951 31935 12734 230 31946 2481 26 31460 31946 6194 5163 3440 31984 96,45,0,0,1,0.0
2017-En-40520,"Interview preparation, I hate talking about myself, one dull subject matter! yawnoff",1,0,1,1,0,0,0,0,0,0,0,9663 471 11158 31951 19 2682 3232 228 1190 31951 150 4868 2180 1769 31956 30152 2843,17,0,0,1,0.0
2017-En-11180,Manchester derby at home,0,0,0,0,1,0,0,0,0,0,0,2776 29463 12235 1966 166 1007,6,0,0,1,0.0
2017-En-21565,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. concern",1,0,1,1,0,0,0,1,0,1,0,133 31953 31937 1143 60 1962 26 222 281 1972 31951 102 19 31953 31940 4733 84 47 31958 7696 101 9097 228 4 1910 704 2518 23268 58 10 20506 31946 2612,33,0,0,1,0.0
2017-En-31526,"Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",0,0,0,0,1,0,1,0,0,0,0,18949 31951 486 16839 58 845 746 187 26 12687 1020 208 31956 19 31953 31940 910 31951 21010 25 166 8487 8887 3061,24,1,0,0,1.0
2017-En-11538,Maybe if it was transgender the media would cover it outrage,1,0,0,0,0,0,0,0,1,0,0,2705 277 36 81 1346 155 509 10 4391 194 873 36 10896,13,0,1,0,0.5
2017-En-30572,her; i want a playful relationship me; *kicks her off the couch*,0,0,0,0,1,0,0,0,0,0,0,279 31996 332 339 4 14772 1881 154 31996 31926 0 31949 3091 279 382 10 7838 0,18,1,0,0,1.0
2017-En-21333,Romero is fucking dreadful like seriously my 11 month old is better than him.,1,0,1,0,0,0,0,0,0,0,0,31784 46 18 979 25 20156 172 3995 92 3188 753 493 46 440 281 669 31946,17,0,0,1,0.0
2017-En-30855,Each day is what you make of it! goals challenges business goals success photographer photography ThursdayThoughts,0,0,0,0,1,0,1,0,0,0,0,3404 644 46 272 75 463 39 36 31956 8279 5280 1954 8279 2253 7784 5910 18566 4601 274 31932,20,1,0,0,1.0
2017-En-10522,Since the 'update' my loses power nearly 40% faster.,1,0,1,0,0,0,0,0,1,0,0,2666 10 924 26340 31953 92 8737 1269 2741 3334 0 3361 31946,13,0,0,1,0.0
2017-En-11191,"Its taken for granted, while the misogyny in the air is treated as normal and any angry response to it as pathological.",1,0,1,0,0,0,0,0,0,0,0,1883 2308 61 12236 31951 659 10 1848 18474 821 41 10 1669 46 6932 108 2500 28 249 6818 4508 26 36 108 4140 4367 31946,27,0,0,1,0.0
2017-En-40717,"All clouded out. Considering using a camera, 1) star trails 2) eyepiece projection.",0,1,0,0,1,0,1,0,0,0,0,1204 7623 31 187 31946 11385 666 4 1342 31951 9416 1488 14387 9113 31644 2973 19138 31946,18,0,1,0,0.5
2017-En-30639,Helluva lot more animated than they were for the actual game >.<,0,1,0,0,1,1,1,0,0,0,0,6815 31938 6946 489 222 11298 281 189 350 61 10 2534 570 31926 0 31946 0,17,0,0,1,0.0
2017-En-40973,oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,0,0,0,0,0,0,0,0,1,1,0,5348 19 455 31946 19 31953 45 1327 117 470 608 19560 31933 10 3337 74 19 81 1994 26 455 276 8982 69 31946 19 4134 663 493 845 41 9215,32,0,0,0,0.5
2017-En-10924,"Anger, resentment, and hatred are the destroyer of your fortune today.",1,0,0,0,0,0,1,0,0,0,0,8589 13 31951 20330 377 31951 28 16076 112 10 5362 13 39 276 10213 1699 31946,17,0,0,1,0.0
2017-En-30454,Optimism leads to success. - Bill Kerr Kerr success optimism goals,0,0,0,0,1,0,1,0,0,0,1,13160 124 1633 5035 26 2253 31946 349 5545 16056 31934 16056 31934 2253 25821 8279,16,1,0,0,1.0
2017-En-10160,what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer pouting,1,0,1,0,0,0,0,0,1,0,0,272 4 6398 390 11076 554 3329 382 2041 924 1966 4025 31953 28 510 372 31953 31928 47 4352 251 36 261 95 262 1368 364 101 12006 24 21184,31,0,0,1,0.0
2017-En-41446,"I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine FallSongs",1,0,0,0,1,0,0,0,0,0,0,19 31953 31940 204 4 12820 61 13249 31951 19 9313 20700 75 208 31951 19 9313 10107 75 464 31951 19 31953 31940 204 4 12820 61 13249 8886 31559,31,0,0,1,0.0
2017-En-40180,so gutted i dropped one of my earrings down the sink at school,0,0,0,0,0,0,0,0,1,0,0,117 10087 1519 332 3251 150 39 92 5827 464 10 4503 166 1576,14,0,0,1,0.0
2017-En-30531,The Quarterback' wrecks me every time.. glee,0,0,0,0,1,0,1,0,0,0,0,94 31926 0 31938 7137 2238 31953 30510 1574 154 361 265 181 38 10481,15,0,0,0,0.5
2017-En-20212,"Williams If this ban goes through, it will harm so many people, disabled veterans, people who have chronicpain, iamkratom",0,0,1,0,0,0,0,0,0,0,0,8099 499 64 4521 1403 502 31951 36 223 6679 117 470 608 31951 15220 19564 31951 608 294 103 8527 28373 31951 332 174 31949 10160 48,28,0,0,1,0.0
2017-En-21787,"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",0,0,0,0,1,0,0,0,0,0,0,6117 2871 26 6852 3241 31951 4 317 8768 61 260 39 10 496 3969 39 10 1257 3334 555 314 28 4 1136 3788 39 10 3146 31946,29,0,0,1,0.0
2017-En-20704,My courage always rises at every attempt to intimidate me. -Elizabeth Bennett (Pride and Prejudice) Quotes Courage FaceYourFears,0,1,0,0,0,0,1,0,0,0,1,456 5917 746 20089 166 361 2621 26 13166 251 154 31946 349 14248 326 6878 17340 201 9197 271 28 22105 31977 31926 0 31938 4039 12502 2979 7591 14766 31978 2755,33,1,0,0,1.0
2017-En-41483,"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",0,0,0,0,1,0,1,0,0,0,0,36 31953 31932 485 104 29880 41 74 785 2496 29609 803 753 31951 785 117 7822 28 2353 171 12,21,1,0,0,1.0
2017-En-21072,"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, Still kicking myself for being to shy to hug",0,0,0,0,1,1,0,0,0,0,0,133 31953 31932 4 205 644 166 207 261 75 203 26 6754 4871 1956 31935 16970 31953 31932 587 31946 2179 31951 2953 13823 1190 61 704 26 11079 26 15078,32,1,0,0,1.0
2017-En-21699,I'm so bored and fat and full and ridiculously overweight and rolls galore,0,0,1,0,0,0,0,1,1,0,0,19 31953 31940 117 4553 28 4116 28 887 28 11337 17766 28 8291 24429,15,0,0,1,0.0
2017-En-40479,The Sunderland time line is quite funny with all the doom & gloom in facing us and the long trip to us midweek. whatgoesaroundcomesaround,0,0,0,0,1,0,1,0,0,0,0,94 2522 509 1873 265 1244 46 883 1727 84 163 10 21261 775 23478 41 7098 128 28 10 468 2184 26 128 3357 17792 31946 272 30541 11012 12874 11012,32,0,0,1,0.0
2017-En-10651,"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. bestdayever magic work",0,0,0,0,1,0,1,0,0,0,0,499 92 2638 10 1305 39 8886 1403 1005 172 1699 31951 19 419 19 31953 31940 685 26 172 64 1774 31946 496 867 530 3740 207,28,1,0,0,1.0
2017-En-40208,"Flirt, simper, pout, repeat. Yuck.",1,0,1,0,0,0,0,0,0,0,0,2591 1541 31951 822 13 31951 24 157 31951 6244 31946 411 979 31946,14,0,0,0,0.5
